,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
8080,jaipur,2015,Hyundai,i20,500000,64000,Petrol,  Manual,2015,Comprehensive,5,First Owner,81.83,1197.0,18.6
8081,jaipur,2019,Maruti,Vitara,900000,89000,Diesel,  Automatic,2019,Comprehensive,5,Second Owner,88.5,1248.0,24.3
8082,jaipur,2014,Renault,Duster,325000,100000,Diesel,  Manual,2014,Comprehensive,5,Second Owner,83.8,1461.0,20.45
8083,jaipur,2015,Maruti,Swift,550000,71000,Diesel,  Manual,2015,Comprehensive,5,First Owner,74.0,1248.0,26.59
8084,jaipur,2020,Hyundai,Creta,985000,58000,Petrol,  Manual,2021,Comprehensive,5,Second Owner,113.18,1497.0,18.0
8085,jaipur,2022,Honda,Amaze,675000,18649,Petrol,  Manual,2022,Comprehensive,5,First Owner,88.5,1199.0,18.6
8086,jaipur,2022,Citroen,C3,590000,38002,Petrol,  Manual,2023,Comprehensive,5,First Owner,108.62,1199.0,19.3
8087,jaipur,2019,Volkswagen,Polo,699000,80000,Petrol,  Automatic,2019,Comprehensive,5,First Owner,103.5,1197.0,17.21
8088,jaipur,2013,Honda,City,375000,95000,Petrol,  Manual,2013,Expired,5,First Owner,116.3,1497.0,16.8
8089,jaipur,2018,Hyundai,Creta,745000,61000,Petrol,  Manual,2018,Comprehensive,5,First Owner,121.3,1591.0,15.8
8090,jaipur,2020,Hyundai,Creta,950000,90000,Diesel,  Manual,2020,Comprehensive,5,First Owner,88.7,1396.0,22.1
8091,jaipur,2017,Volkswagen,Polo,450000,62000,Petrol,  Manual,2017,Expired,5,Second Owner,74.0,1199.0,16.2
8092,jaipur,2013,Maruti,Swift,375000,80000,Diesel,  Manual,2013,Comprehensive,5,Second Owner,74.0,1248.0,23.4
8093,jaipur,2014,Hyundai,Grand,425000,80456,Petrol,  Manual,2015,Expired,5,First Owner,82.0,1197.0,18.9
8094,jaipur,2020,Renault,KWID,350000,40000,Petrol,  Manual,2020,Comprehensive,5,First Owner,53.3,799.0,25.17
8095,jaipur,2019,Toyota,Innova,1495000,148219,Diesel,  Manual,2019,Comprehensive,7,First Owner,147.8,2393.0,14.0
8096,jaipur,2022,Maruti,Alto,380000,20000,Petrol,  Manual,2022,Comprehensive,5,First Owner,47.33,796.0,22.05
